Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value
#country+name,#country+code,#date+year,#indicator+name,#indicator+code,#indicator+value+num
Mexico,MEX,2018,Arable land (% of land area),AG.LND.ARBL.ZS,12.2971269837187
Mexico,MEX,2017,Arable land (% of land area),AG.LND.ARBL.ZS,12.2971269837187
Mexico,MEX,2016,Arable land (% of land area),AG.LND.ARBL.ZS,11.4030710666427
Mexico,MEX,2015,Arable land (% of land area),AG.LND.ARBL.ZS,10.6026389567633
Mexico,MEX,2014,Arable land (% of land area),AG.LND.ARBL.ZS,9.83410067131356
Mexico,MEX,2013,Arable land (% of land area),AG.LND.ARBL.ZS,10.1365775868721
Mexico,MEX,2012,Arable land (% of land area),AG.LND.ARBL.ZS,10.3428586126186
Mexico,MEX,2011,Arable land (% of land area),AG.LND.ARBL.ZS,10.9102600375524
Mexico,MEX,2010,Arable land (% of land area),AG.LND.ARBL.ZS,11.0738444918851
Mexico,MEX,2009,Arable land (% of land area),AG.LND.ARBL.ZS,11.4200468119036
Mexico,MEX,2008,Arable land (% of land area),AG.LND.ARBL.ZS,11.8032871215823
Mexico,MEX,2007,Arable land (% of land area),AG.LND.ARBL.ZS,12.098562205818
Mexico,MEX,2006,Arable land (% of land area),AG.LND.ARBL.ZS,12.0183132282209
Mexico,MEX,2005,Arable land (% of land area),AG.LND.ARBL.ZS,11.983847321176
Mexico,MEX,2004,Arable land (% of land area),AG.LND.ARBL.ZS,11.9416651662851
Mexico,MEX,2003,Arable land (% of land area),AG.LND.ARBL.ZS,12.1669796033849
Mexico,MEX,2002,Arable land (% of land area),AG.LND.ARBL.ZS,11.9262326705934
Mexico,MEX,2001,Arable land (% of land area),AG.LND.ARBL.ZS,11.9092569253324
Mexico,MEX,2000,Arable land (% of land area),AG.LND.ARBL.ZS,11.78271046066
Mexico,MEX,1999,Arable land (% of land area),AG.LND.ARBL.ZS,11.7893978754598
Mexico,MEX,1998,Arable land (% of land area),AG.LND.ARBL.ZS,11.7446436379537
Mexico,MEX,1997,Arable land (% of land area),AG.LND.ARBL.ZS,11.720980477893
Mexico,MEX,1996,Arable land (% of land area),AG.LND.ARBL.ZS,11.686000154325
Mexico,MEX,1995,Arable land (% of land area),AG.LND.ARBL.ZS,11.6052367602047
Mexico,MEX,1994,Arable land (% of land area),AG.LND.ARBL.ZS,11.5995781784511
Mexico,MEX,1993,Arable land (% of land area),AG.LND.ARBL.ZS,11.590318681036
Mexico,MEX,1992,Arable land (% of land area),AG.LND.ARBL.ZS,11.537848195684
Mexico,MEX,1991,Arable land (% of land area),AG.LND.ARBL.ZS,11.5347616965457
Mexico,MEX,1990,Arable land (% of land area),AG.LND.ARBL.ZS,11.1674682990818
Mexico,MEX,1989,Arable land (% of land area),AG.LND.ARBL.ZS,10.6257877003009
Mexico,MEX,1988,Arable land (% of land area),AG.LND.ARBL.ZS,10.1329766712107
Mexico,MEX,1987,Arable land (% of land area),AG.LND.ARBL.ZS,9.89428740451143
Mexico,MEX,1986,Arable land (% of land area),AG.LND.ARBL.ZS,9.43645669898917
Mexico,MEX,1985,Arable land (% of land area),AG.LND.ARBL.ZS,9.58409424110702
Mexico,MEX,1984,Arable land (% of land area),AG.LND.ARBL.ZS,9.38347179711412
Mexico,MEX,1983,Arable land (% of land area),AG.LND.ARBL.ZS,9.42822603462023
Mexico,MEX,1982,Arable land (% of land area),AG.LND.ARBL.ZS,9.15404202782993
Mexico,MEX,1981,Arable land (% of land area),AG.LND.ARBL.ZS,9.05321638931042
Mexico,MEX,1980,Arable land (% of land area),AG.LND.ARBL.ZS,9.08459579721701
Mexico,MEX,1979,Arable land (% of land area),AG.LND.ARBL.ZS,9.0460145579876
Mexico,MEX,1978,Arable land (% of land area),AG.LND.ARBL.ZS,9.14889786259935
Mexico,MEX,1977,Arable land (% of land area),AG.LND.ARBL.ZS,9.14735461303017
Mexico,MEX,1976,Arable land (% of land area),AG.LND.ARBL.ZS,9.12369145296947
Mexico,MEX,1975,Arable land (% of land area),AG.LND.ARBL.ZS,9.11134545641606
Mexico,MEX,1974,Arable land (% of land area),AG.LND.ARBL.ZS,9.09899945986265
Mexico,MEX,1973,Arable land (% of land area),AG.LND.ARBL.ZS,9.11494637207747
Mexico,MEX,1972,Arable land (% of land area),AG.LND.ARBL.ZS,9.09694179377042
Mexico,MEX,1971,Arable land (% of land area),AG.LND.ARBL.ZS,9.09951387638571
Mexico,MEX,1970,Arable land (% of land area),AG.LND.ARBL.ZS,9.09899945986265
Mexico,MEX,1969,Arable land (% of land area),AG.LND.ARBL.ZS,9.65559813781219
Mexico,MEX,1968,Arable land (% of land area),AG.LND.ARBL.ZS,9.69675145965688
Mexico,MEX,1967,Arable land (% of land area),AG.LND.ARBL.ZS,9.73790478150158
Mexico,MEX,1966,Arable land (% of land area),AG.LND.ARBL.ZS,9.78420226857687
Mexico,MEX,1965,Arable land (% of land area),AG.LND.ARBL.ZS,9.82535559042156
Mexico,MEX,1964,Arable land (% of land area),AG.LND.ARBL.ZS,9.86650891226626
Mexico,MEX,1963,Arable land (% of land area),AG.LND.ARBL.ZS,9.90766223411096
Mexico,MEX,1962,Arable land (% of land area),AG.LND.ARBL.ZS,9.94881555595566
Mexico,MEX,1961,Arable land (% of land area),AG.LND.ARBL.ZS,10.0347231153065
Mexico,MEX,2010,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,40015.67969
Mexico,MEX,2000,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,40015.67969
Mexico,MEX,1990,Rural land area where elevation is below 5 meters (sq. km),AG.LND.EL5M.RU.K2,40015.67969
